Address,Owner,Accessor number (date collected),Catalog # (day inventory),Object Name,3D Scanned,3D Printed,Scanned By,Date excavated (field bag date),Object dated to,Object Description,inorganic/organic,species,Material of manufactur,Form (object type),Quantity,Measurements (diameter/circumference) - length,Length (mm),Width (mm),Height (mm),Measurement Notes,weight (grams),Weight Notes,Sivilich Diameter (in),Deformation Index,Conservation & condition,Cataloger name,Date Catalogued on,Location in repository,PLAT/LOT,Found at Depth below surface (report UNIT. mm prefered),Longtitude,Latitude,Distance from Datum,Found in grid,Excavator,Notes,Image (add column for each additional image),Data entry double checked by,Questions/ concerns,Dr.Uhl Check,SOURCES FOR ID,Location,Storage Location,Uhl Flags
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-520-D,Bone,,,,7/22/2022,Unknown,Smooth and curved rectangular bone fragment,Organic,Aves (bird),Bone,Bone,4 of 5,17.31,,,,,0.7,,,,No conservation,I. DeLisle,,,,390,,,2487,S2W4,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/22/2022,2022-7-22-520-E,Bone,,,,7/22/2022,Unknown,Small and round bone fragment,Organic,Aves (bird),Bone,Bone,5 of 5,8.14,,,,,0.1,,,,No conservation,I. DeLisle,,,,390,,,2487,S2W4,,Probably should double check because this was more of a guess,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/26/2022,2022-7-26-532,Bone,,,,7/26/2022,Unknown,10 small; rounded mammal bone fragments with the pores being promenintely shown,Organic,Mammal,Bone,Bone,10,9.56,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,399,,,2369,S3W3,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/26/2022,2022-7-26-533-A,Bone,,,,7/26/2022,Unknown,3 rounded and somewhat angular dark bird bone fragments; more intact with less of the pores showing,Organic,Aves (bird),Bone,Bone,1 of 3,8.53,,,,,0.3,,,,No conservation,I. DeLisle,,,,217,,,2957,S2E2,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/26/2022,2022-7-26-533-B,Bone,,,,7/26/2022,Unknown,3 rounded and somewhat angular dark bird bone fragments; more intact with less of the pores showing,Organic,Aves (bird),Bone,Bone,2 of 3,11.35,,,,,0.1,,,,No conservation,I. DeLisle,,,,217,,,2957,S2E2,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/26/2022,2022-7-26-533-C,Bone,,,,7/26/2022,Unknown,3 rounded and somewhat angular dark bird bone fragments; more intact with less of the pores showing,Organic,Aves (bird),Bone,Bone,3 of 3,9.02,,,,,0.3,,,,No conservation,I. DeLisle,,,,217,,,2957,S2E2,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/26/2022,2022-7-26-534,Bone,,,,7/26/2022,Unknown,A light brownish; smooth bone fragment with two ends coming up and the middle sunken down and circular idents on one side that looks like suction cups on an octopus,Organic,Mammal,Bone,Bone,1,11.18,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,564,,,4513,S4W4,,Defintly should double check; I am less confident about this,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/28/2022,2022-6-28-535-A,Bone,,,,6/28/2022,Unknown,2 small and rounded mammal bone fragments that are very porous,Organic,Mammal,Bone,Bone,1 of 2,13.51,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,,,,,S3W2,,Surface find; probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,6/28/2022,2022-6-28-535-B,Bone,,,,6/28/2022,Unknown,2 small and rounded mammal bone fragments that are very porous,Organic,Mammal,Bone,Bone,2 of 2,5.32,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,,,,,S3W2,,Surface find; probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/1/2022,2022-7-1-536-A,Bone,,,,7/1/2022,Unknown,2 thick and rounded mammal bone fragments,Organic,Mammal,Bone,Bone,1 of 2,28.04,,,,,1.6,,,,No conservation,I. DeLisle,,,,302,,,3335,S2W4,,Marcus wrote: pubic symphysis?; Probably should double check my work,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/1/2022,2022-7-1-536-B,Bone,,,,7/1/2022,Unknown,2 thick and rounded mammal bone fragments,Organic,Mammal,Bone,Bone,2 of 2,12.67,,,,,0.8,,,,No conservation,I. DeLisle,,,,302,,,3335,S2W4,,Marcus wrote: pubic symphysis?; Probably should double check my work,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/1/2022,2022-7-1-537,Bone,,,,7/1/2022,Unknown,a thick; smooth; rectangular; and rounded mammal bone fragment with the pores showing on the sides,Organic,Mammal,Bone,Bone,1,16.67,,,,,0.5,,,,No conservation,I. DeLisle,,,,368,,,4076,S4W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-540,Bone,,,,7/12/2022,Unknown,Thick and dark rounded mammal bone piece with ridges inside the little dip,Organic,Mammal,Bone,Bone,1,84.47,,,,,20.9,,,,No conservation,I. DeLisle,,,,,,,,S3W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/14/2022,2022-7-14-541-A,Bone,,,,7/14/2022,Unknown,One big thick and rounded mammal bone fragment and two smaller oval mammal bone fragments; all fragments have pores showing and are all super dark,Organic,Mammal,Bone,Bone,1 of 3,47.6,,,,,21.1,,,,No conservation,I. DeLisle,,,,470,,,5020,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/14/2022,2022-7-14-541-B,Bone,,,,7/14/2022,Unknown,One big thick and rounded mammal bone fragment and two smaller oval mammal bone fragments; all fragments have pores showing and are all super dark,Organic,Mammal,Bone,Bone,2 of 3,22.6,,,,,1.8,,,,No conservation,I. DeLisle,,,,470,,,5020,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/14/2022,2022-7-14-541-C,Bone,,,,7/14/2022,Unknown,One big thick and rounded mammal bone fragment and two smaller oval mammal bone fragments; all fragments have pores showing and are all super dark,Organic,Mammal,Bone,Bone,3 of 3,23.83,,,,,2,,,,No conservation,I. DeLisle,,,,470,,,5020,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 #2 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/8/2022,2022-7-8-542-A,Bone,,,,7/8/2022,Unknown,Light gray mammal bone fragments with more codenced pores and are rounded,Organic,Mammal,Bone,Bone,9,,,,,17.54 mm; 15.34 mm; 14.37 mm,,0.7 g; 0.6 g; 0.3 g,,,No conservation,I. DeLisle,,,,385,,,2932,S2W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/8/2022,2022-7-8-542-B,Bone,,,,7/8/2022,Unknown,Darker more angular bird bone fragments with thin supported webs for pores,Organic,Aves (bird),Bone,Bone,10,21.31,,,,,1,,,,No conservation,I. DeLisle,,,,385,,,2932,S2W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-A,Bone,,,,7/11/2022,Unknown,A curved edge with an open porous showing bird bone fragment,Organic,Aves (bird),Bone,Bone,1 of 19,29.47,,,,,8.9,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-B,Bone,,,,7/11/2022,Unknown,A flat and curved bone fragment with a lot of the porous thing showing bird bone fragment,Organic,Aves (bird),Bone,Bone,2 of 19,62.58,,,,,14.5,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-C,Bone,,,,7/11/2022,Unknown,A flat and triangular shaped bird bone fragment with the porous part showing,Organic,Aves (bird),Bone,Bone,3 of 19,30.44,,,,,2.2,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-D,Bone,,,,7/11/2022,Unknown,A flat bird bone fragment with a thick pourous part on a thinner base part,Organic,Aves (bird),Bone,Bone,4 of 19,29.02,,,,,2.2,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-E,Bone,,,,7/11/2022,Unknown,A thick bird bone fragment that is rectangular in shape and porous part on top,Organic,Aves (bird),Bone,Bone,5 of 19,19.01,,,,,1.3,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-F,Bone,,,,7/11/2022,Unknown,A thick bird bone fragment that is rectangular in shape and porous part on top,Organic,Aves (bird),Bone,Bone,6 of 19,18.29,,,,,0.9,,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-553-G,Bone,,,,7/11/2022,Unknown,A lot of different bird bone fragments; one is almost black in color and other is white; and they are a lot smaller than the other ones,Organic,Aves (bird),Bone,Bone,13,32.44,,,,,5,All weighed together,,,No conservation,I. DeLisle,,,,385,,,4824,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-554-A,Bone,,,,7/11/2022,Unknown,A flat and curved reddish bird bone fragment; and a small flat reddish on one side and white on the other rectangular bird bone fragment,Organic,Aves (bird),Bone,Bone,1 of 2,15.92,,,,,0.4,,,,No conservation,I. DeLisle,,,,396,,,5245,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/11/2022,2022-7-11-554-B,Bone,,,,7/11/2022,Unknown,A flat and curved reddish bird bone fragment; and a small flat reddish on one side and white on the other rectangular bird bone fragment,Organic,Aves (bird),Bone,Bone,2 of 2,9.39,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,396,,,5245,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-555-A,Bone,,,,7/12/2022,Unknown,A flat and thick trapezoid shaped woody texture mammal bone fragment; a right triangle shaped with layers dark and woody texture mammal bone fragment; and a triangular shaped dark and thick mammal bone fragment,Organic,Mammal,Bone,Bone,1 of 3,29.79,,,,,2.6,,,,No conservation,I. DeLisle,,,,310,,,3090,S2W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-555-B,Bone,,,,7/12/2022,Unknown,A flat and thick trapezoid shaped woody texture mammal bone fragment; a right triangle shaped with layers dark and woody texture mammal bone fragment; and a triangular shaped dark and thick mammal bone fragment,Organic,Mammal,Bone,Bone,2 of 3,20.02,,,,,0.7,,,,No conservation,I. DeLisle,,,,310,,,3090,S2W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-555-C,Bone,,,,7/12/2022,Unknown,A flat and thick trapezoid shaped woody texture mammal bone fragment; a right triangle shaped with layers dark and woody texture mammal bone fragment; and a triangular shaped dark and thick mammal bone fragment,Organic,Mammal,Bone,Bone,3 of 3,18.37,,,,,1,,,,No conservation,I. DeLisle,,,,310,,,3090,S2W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,7/12/2022,2022-7-12-556,Bone,,,,7/12/2022,Unknown,One is like all the porous part of the bone; which is the much thicker cortex of a mammal bone; one is like in a stingray shape mammal bone fragment; the mammal bone fragments are thick and reddish except for one gray bone fragment,Organic,Mammal,Bone,Bone,7,,,,,8.22 mm; 27.14 mm; 12.81 mm,,~0.01 g; 1.4 g; 0.5 g,,,No conservation,I. DeLisle,,,,297,,,5443,S5W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-557-A,Bone,,,,5/27/2022,Unknown,One is thick and rounded; with a little hook sort of thing; with some of the porous part showing mammal bone fragment; another is flatter with some of the porous part showing on the side mammal bone fragment; and the last is a small triangular mammal bone fragment with the porous part in the middle,Organic,Mammal,Bone,Bone,1 of 3,37.22,,,,,4.7,,,,No conservation,I. DeLisle,,,,595,,,3456,S3W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-557-B,Bone,,,,5/27/2022,Unknown,One is thick and rounded; with a little hook sort of thing; with some of the porous part showing mammal bone fragment; another is flatter with some of the porous part showing on the side mammal bone fragment; and the last is a small triangular mammal bone fragment with the porous part in the middle,Organic,Mammal,Bone,Bone,2 of 3,23.21,,,,,0.8,,,,No conservation,I. DeLisle,,,,595,,,3456,S3W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
Newport Spring Site; 48 Touro/Spring St. Newport; RI,,5/27/2022,2022-5-27-557-C,Bone,,,,5/27/2022,Unknown,One is thick and rounded; with a little hook sort of thing; with some of the porous part showing mammal bone fragment; another is flatter with some of the porous part showing on the side mammal bone fragment; and the last is a small triangular mammal bone fragment with the porous part in the middle,Organic,Mammal,Bone,Bone,3 of 3,7.14,,,,,0.01,Approximately 0.01 g,,,No conservation,I. DeLisle,,,,595,,,3456,S3W4,,Probably should double check,,,,,https://drive.google.com/drive/folders/1nO-odEektFNv65Fzc9zdIf4z7z7r4hJW,Box 5 (Bone): in Archives,,
